	GCF_001040905.1 | Streptomyces sp. PBH53 - ST 346:519	GCF_002155905.1 | Streptomyces tricolor NRRL B-16925 - ST 129:520	GCF_002251155.1 | Streptomyces sp. FBKL.4005 - ST 445:521
GCF_001040905.1 | Streptomyces sp. PBH53 - ST 346:519	1	149603	167504
GCF_002155905.1 | Streptomyces tricolor NRRL B-16925 - ST 129:520	149603	1	50958
GCF_002251155.1 | Streptomyces sp. FBKL.4005 - ST 445:521	167504	50958	1
