	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686
GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	9705398	5980323	6323967	6346018	6115226	6287022	6307846	6177851	6283996	5679233	5634258	6180276	6309150	6218497	6306420	6309199	6260056	6298926	6298934	6259476	6301555	6250390	6302529	6301172	6346108	6339387
GCF_000718755.1 | Streptomyces rimosus NRRL WC-3560 - ST 287:219	5980323	8603240	8654599	7715853	7278573	7665757	7707031	7503370	7693795	6924507	6700569	7541358	7711818	7686930	7707743	7668599	7572542	7718666	7683446	7626715	7698899	7597837	7699311	7703754	7714915	7710697
GCF_000719185.1 | Streptomyces rimosus NRRL B-2660 - ST 287:220	6323967	8654599	9085517	8168855	7700333	8113855	8159603	7952902	8147116	7250180	7119853	7992917	8164727	8021022	8162507	8119477	7990952	8093499	8134848	8078979	8150631	7882847	8151563	8155093	8168294	8160418
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	6346018	7715853	8168855	9643891	8944940	8637111	9634721	8467949	9708086	8460156	8361764	9423255	9638584	9380611	9634717	8661426	9257151	8476970	9620546	9610541	9644774	8398770	9624051	9674939	9681970	9391215
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	6115226	7278573	7700333	8944940	8919161	8069642	8874495	7926838	8989314	8245420	8331058	8684870	8897586	8664276	8936903	8119257	8819896	7885968	8925399	8974198	8908242	7875810	8886338	8891584	8943484	8653056
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	6287022	7665757	8113855	8637111	8069642	9386539	8638596	8402723	8621244	7592135	7474829	8414666	8640979	8450141	8636548	8573330	8399081	8424479	8601779	8548177	8626817	8471519	8628347	8630213	8643671	8614756
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	6307846	7707031	8159603	9634721	8874495	8638596	9589920	8466198	9667199	8465095	8327034	9428472	9651795	9397280	9710291	8659386	9244014	8470490	9544502	9573181	9620756	8399297	9598684	9650807	9602833	9318223
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	6177851	7503370	7952902	8467949	7926838	8402723	8466198	9520128	8443196	7478745	7342683	8253810	8465400	8287565	8462189	9571751	8247941	8305413	8446987	8379957	8452071	8175646	8452161	8456018	8473358	8441473
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	6283996	7693795	8147116	9708086	8989314	8621244	9667199	8443196	9551326	8490887	8394474	9457673	9687690	9403370	9707881	8642410	9255520	8449771	9526183	9520110	9557187	8369138	9579001	9580341	9686199	9391159
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	5679233	6924507	7250180	8460156	8245420	7592135	8465095	7478745	8490887	8413065	7707298	8311385	8518561	8295436	8465456	7674218	8135781	7424976	8418133	8418773	8413590	7496803	8405800	8418575	8444937	8179860
