	GCF_000819545.1 | Streptomyces nodosus ATCC 14899 - ST 193:527	GCF_008704995.1 | Streptomyces nodosus ATCC 14899 - ST 605:528	GCF_014205035.1 | Streptomyces nodosus DSM 40109 - ST 605:530	GCF_017352335.1 | Streptomyces nodosus ZJB2016050 - ST 605:531
GCF_000819545.1 | Streptomyces nodosus ATCC 14899 - ST 193:527	1	3238	3045	3750
GCF_008704995.1 | Streptomyces nodosus ATCC 14899 - ST 605:528	3238	1	373	572
GCF_014205035.1 | Streptomyces nodosus DSM 40109 - ST 605:530	3045	373	1	403
GCF_017352335.1 | Streptomyces nodosus ZJB2016050 - ST 605:531	3750	572	403	1
