	GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729
GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	8768483	6474665	6342122	6341446	4991369	4985676	7679138	7734308	4754871	7589325	7566794	6226168	5882539	6288049	6291811	6058756	6278675
GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	6474665	8825688	7124056	7121478	4973939	4972538	6408816	6387458	4748103	6387414	6360215	6902561	6199822	6812896	6824380	6443802	6810506
GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	6342122	7124056	8686896	8816405	4870453	4878161	6277625	6377756	4665252	6262075	6213912	7270551	6187852	6615341	6624425	6456038	6616036
GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	6341446	7121478	8816405	8682129	4869663	4877356	6276341	6377771	4662290	6265101	6213053	7267578	6191296	6613159	6624673	6454642	6616688
GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	4991369	4973939	4870453	4869663	8568408	8308955	4996057	4999693	4697726	5041730	4943151	4819162	4721693	4944043	4944030	4854364	4942802
GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	4985676	4972538	4878161	4877356	8308955	8621934	4995191	5008432	4704695	5060477	4962999	4817669	4734710	4978026	4977088	4865597	4972053
GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	7679138	6408816	6277625	6276341	4996057	4995191	8614071	7676422	4733640	7620784	7559852	6177510	5807086	6249146	6254778	6018391	6227292
GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	7734308	6387458	6377756	6377771	4999693	5008432	7676422	8212860	4725073	7556081	7594393	6204114	5868750	6238962	6248246	6020915	6231843
GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	4754871	4748103	4665252	4662290	4697726	4704695	4733640	4725073	8093975	4790768	4786948	4678022	4533454	4758484	4798816	4727633	4781956
GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	7589325	6387414	6262075	6265101	5041730	5060477	7620784	7556081	4790768	8991292	7567667	6138877	5899374	6258067	6300849	6129583	6282671
GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	7566794	6360215	6213912	6213053	4943151	4962999	7559852	7594393	4786948	7567667	8110698	6140784	5846801	6246959	6286092	6074011	6264293
GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	6226168	6902561	7270551	7267578	4819162	4817669	6177510	6204114	4678022	6138877	6140784	8513506	6191542	6596874	6597905	6296746	6594991
GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	5882539	6199822	6187852	6191296	4721693	4734710	5807086	5868750	4533454	5899374	5846801	6191542	7746267	6322513	6362146	6293892	6354760
GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	6288049	6812896	6615341	6613159	4944043	4978026	6249146	6238962	4758484	6258067	6246959	6596874	6322513	8994303	8983865	6566650	8961281
GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	6291811	6824380	6624425	6624673	4944030	4977088	6254778	6248246	4798816	6300849	6286092	6597905	6362146	8983865	9047340	6633370	9077389
GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	6058756	6443802	6456038	6454642	4854364	4865597	6018391	6020915	4727633	6129583	6074011	6296746	6293892	6566650	6633370	8857713	6610894
GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729	6278675	6810506	6616036	6616688	4942802	4972053	6227292	6231843	4781956	6282671	6264293	6594991	6354760	8961281	9077389	6610894	9022916
