	GCF_000718015.1 | Streptomyces catenulae NRRL B-2342 - ST 278:214	GCF_003865135.1 | Streptomyces chrestomyceticus NBRC 13444 - ST 519:215	GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216
GCF_000718015.1 | Streptomyces catenulae NRRL B-2342 - ST 278:214	7046907	2430127	2419324
GCF_003865135.1 | Streptomyces chrestomyceticus NBRC 13444 - ST 519:215	2430127	9377418	8146079
GCF_003865155.1 | Streptomyces rimosus NBRC 15454 - ST 520:216	2419324	8146079	9705398
