	GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	GCF_002154385.1 | Streptomyces albovinaceus NRRL B-2566 - ST 24:255	GCF_002217715.1 | Streptomyces sp. SS07 - ST 442:256	GCF_002551105.1 | Streptomyces sp. st170 - ST 451:257	GCF_002551135.1 | Streptomyces sp. st140 - ST 452:258	GCF_002551175.1 | Streptomyces sp. st77 - ST 454:259	GCF_002551335.1 | Streptomyces sp. ms184 - ST 457:260	GCF_002551345.1 | Streptomyces sp. ms115 - ST 458:261	GCF_002551375.1 | Streptomyces sp. gb14 - ST 459:262	GCF_002551415.1 | Streptomyces sp. f51 - ST 460:263	GCF_002551435.1 | Streptomyces sp. f150 - ST 462:264	GCF_002551475.1 | Streptomyces sp. b62 - ST 464:265	GCF_002705695.1 | Streptomyces sp. OspMP-M45 - ST 465:266	GCF_002803175.1 | Streptomyces sp. CB02613 - ST 469:267	GCF_002804165.1 | Streptomyces cavourensis 1AS2a - ST 470:268	GCF_002832675.1 | Streptomyces sp. S063 - ST 471:269	GCF_002910775.2 | Streptomyces sp. SM18 - ST 478:270	GCF_003024215.1 | Streptomyces sp. CS149 - ST 486:271	GCF_003116755.1 | Streptomyces sp. CS131 - ST 494:272	GCF_003116775.1 | Streptomyces sp. CS147 - ST 495:273	GCF_003147545.1 | Streptomyces globisporus TFH56 - ST 338:274	GCF_003330865.1 | Streptomyces atratus SCSIO_ZH16 - ST 499:275	GCF_003352445.1 | Streptomyces cavourensis TJ430 - ST 500:276	GCF_003353555.1 | Streptomyces sp. HB202 - ST 501:277	GCF_003949895.1 | Streptomyces sp. WAC04770 - ST 535:278	GCF_003989035.1 | Streptomyces sp. NP10 - ST 546:279	GCF_004000405.1 | Streptomyces sp. B27 - ST 549:280	GCF_006788935.1 | Streptomyces cavourensis DSM 41795 - ST 583:281	GCF_008180165.1 | Streptomyces parvus C05 - ST 595:282	GCF_008632535.1 | Streptomyces parvus NRRL B-1455 - ST 596:283	GCF_009811575.1 | Streptomyces glebosus NBRC 13786 - ST 614:284	GCF_009862465.1 | Streptomyces sp. SID4941 - ST 624:285	GCF_009863145.1 | Streptomyces sp. SID4937 - ST 631:286	GCF_009863235.1 | Streptomyces sp. SID4925 - ST 465:287	GCF_009864905.1 | Streptomyces sp. SID8378 - ST 633:288	GCF_009865365.1 | Streptomyces sp. SID4912 - ST 260:289	GCF_009872565.1 | Streptomyces sp. SID5614 - ST 642:290	GCF_010548175.1 | Streptomyces halstedii SID11342 - ST 647:291	GCF_010548665.1 | Streptomyces parvus SID7590 - ST 654:292	GCF_013363455.1 | Streptomyces sp. CAI-121 - ST 672:293	GCF_013363475.1 | Streptomyces sp. KAI-26 - ST 674:294	GCF_013363655.1 | Streptomyces sp. CAI 127 - ST 676:295	GCF_013363665.1 | Streptomyces sp. CAI-68 - ST 672:296	GCF_013363675.1 | Streptomyces sp. CAI-24 - ST 677:297	GCF_013363735.1 | Streptomyces sp. CAI-155 - ST 678:298	GCF_014648655.1 | Streptomyces atratus JCM 3386 - ST 702:299	GCF_014648875.1 | Streptomyces parvus JCM 4069 - ST 596:300	GCF_014649215.1 | Streptomyces cavourensis JCM 4298 - ST 583:301	GCF_014649535.1 | Streptomyces gelaticus JCM 4376 - ST 706:302	GCF_014649875.1 | Streptomyces rubiginosohelvolus JCM 4415 - ST 708:303	GCF_014656235.1 | Streptomyces glebosus JCM 4954 - ST 614:304	GCF_016612575.1 | Streptomyces sp. MBT67 - ST 734:305	GCF_016612645.1 | Streptomyces sp. MBT61 - ST 734:306	GCF_016612665.1 | Streptomyces sp. MBT60 - ST 736:307	GCF_016612705.1 | Streptomyces sp. MBT56 - ST 737:308	GCF_016612725.1 | Streptomyces sp. MBT54 - ST 737:309	GCF_016612775.1 | Streptomyces sp. MBT98 - ST 737:310	GCF_016654055.1 | Streptomyces sp. MBT55 - ST 740:311	GCF_016654065.1 | Streptomyces sp. MBT59 - ST 734:312	GCF_900090065.1 | Streptomyces sp. OspMP-M45 - ST 465:313	GCF_900091745.1 | Streptomyces sp. DpondAA-D4 - ST 260:314	GCF_900091765.1 | Streptomyces sp. PalvLS-984 - ST 624:315	GCF_900091775.1 | Streptomyces sp. ScaeMP-e83 - ST 631:316	GCF_900091865.1 | Streptomyces sp. DvalAA-19 - ST 791:317	GCF_900092005.1 | Streptomyces sp. Cmuel-A718b - ST 794:318	GCF_900187925.1 | Streptomyces sp. PgraA7 - ST 633:319
GCF_000261345.2 | Streptomyces globisporus C-1027 - ST 245:245	7783599	5140746	3116734	6569737	3124451	6736155	5836627	4840135	6753141	7394430	6141123	6730587	6918289	6810968	6440926	6630623	6719581	6567078	6518278	6753334	6607436	3126845	5842981	5021648	5900507	3134427	6206375	6320135	6418079	6866079	3144172	5030208	6799825	4775888	6583156	4917736	5011311	6203373	6240453	1532476	3096366	5228577	3126845	6433959	3120007	6465344	3045097	6008504	6309339	5006145	6327048	6308460	5031698	4999710	3135391	6285449	5000968	3106542	6602047	1523238	6606184	6595291	6645746	6696101	6726416	6790951	6859755	6578184	3126845	3114330	3094103	5225629	4995971	6308970	6433959
GCF_000498935.1 | Streptomyces sp. HCCB10043 - ST 259:246	5140746	6687533	2768478	5251650	2764975	5212282	5305975	4087058	5214506	5152202	5026034	5195852	5247176	5226163	5407563	5326050	5195991	5183495	5169480	5274540	5273516	2748792	5089977	4188009	5302952	2735259	5572905	5383909	5378620	5218514	2789365	4197588	5241248	4065888	5268494	4118960	4184333	5567917	5384121	1393250	2756142	4366353	2748792	5399556	2757449	5136720	2728460	5504778	5713366	4191909	5712612	5711736	4209238	4170915	2802233	5409025	4187857	2765942	5245380	1394186	5120225	5121542	5105586	5158305	5164958	5206265	5221996	5092801	2748792	2759451	2753808	4365946	4214720	5421167	5399556
GCF_000698495.1 | Streptomyces sp. NTK 937 - ST 265:247	3116734	2768478	7444861	3134282	6682390	3163925	3085211	2945239	3118594	3134394	2940370	3128592	3162573	3117899	3120969	3122523	3110284	3118782	3098046	3114094	3133855	6724484	3058259	3135172	3094845	6603555	3120259	3160650	3115608	3115497	2940430	3142976	3182346	3041207	3117098	3070875	3149109	3152851	3131675	1362372	6553226	3250085	6724484	3165900	6709650	3089750	6372901	2988072	3127398	3128171	3115345	3124502	3116696	3119181	2932579	3148640	3119780	2934905	3133405	1364703	3115166	3103893	3049933	3142782	3149618	3183241	3172650	3092967	6724484	6700105	6542600	3247456	3144674	3125204	3165900
GCF_000719355.1 | Streptomyces griseus NRRL F-5144 - ST 292:248	6569737	5251650	3134282	7849817	3149883	6906250	5945481	4879645	6611638	6655285	6021253	6908409	6677200	6950578	6583489	6747059	6905465	6953466	6866124	6926688	7312489	3145791	5860375	5044400	6025210	3129683	6326247	6358048	6498423	6609994	3168247	5034976	6657322	4810457	7277073	4909170	5021223	6351752	6294311	1522483	3113420	5267201	3145791	6645144	3127991	6787220	3077029	6119646	6436526	5036996	6476771	6436104	5042261	5042294	3180097	6339343	5024562	3120262	7169631	1523352	6811495	6811098	6800937	6522622	6550021	6611706	6641836	6787091	3145791	3126382	3111505	5264680	5036054	6363726	6645144
GCF_000721185.1 | Streptomyces griseolus NRRL B-2925 - ST 314:249	3124451	2764975	6682390	3149883	7537539	3152816	3069827	2933705	3129099	3122436	2936590	3135954	3117930	3129925	3123174	3148258	3146373	3147964	3114636	3148308	3170458	6941856	3054670	3146273	3073375	6693112	3108936	3123483	3117754	3125772	2931785	3139564	3138476	3116883	3134305	3073545	3138473	3147155	3121233	1378859	6666996	3272634	6941856	3123735	6952918	3135088	6465758	2995229	3164220	3156078	3124418	3162120	3147743	3140316	2948107	3140285	3138406	2942891	3153491	1379089	3119627	3101654	3067444	3096574	3103059	3131467	3143346	3090367	6941856	6937978	6653931	3271319	3187840	3123176	3123735
GCF_000743295.1 | Streptomyces sp. JS01 - ST 329:250	6736155	5212282	3163925	6906250	3152816	7799375	5891531	4993766	6663131	6784844	6048394	7303282	6688914	7069809	6420846	6613918	7276943	6832857	6811768	7070345	6874244	3135414	5808411	5025513	5935296	3131483	6234547	6261612	6392666	6629552	3177279	5031435	6696188	4796996	6879638	4921257	5002722	6311008	6322692	1526648	3094949	5244281	3135414	6455490	3121703	6734150	3073167	6073146	6415626	5015041	6394816	6408671	5026116	5011686	3161397	6368267	5003569	3131025	6898616	1529782	7115105	7100833	7122210	6654527	6684227	6748351	6770863	7076342	3135414	3119379	3093901	5241680	5024941	6310329	6455490
GCF_001746305.1 | Streptomyces sp. EN23 - ST 408:251	5836627	5305975	3085211	5945481	3069827	5891531	7438109	4636248	5949707	5842298	5484482	5875817	5973965	5934842	6159629	5936140	5881758	5926210	5888894	5945543	5981684	3062667	5740074	4795909	6931947	3063642	6307201	6097743	6099944	5944165	2987548	4800469	5985385	4571913	5966478	4721168	4771624	6169193	6063115	1425451	3038735	4936356	3062667	6128632	3068456	5860769	3012907	5875178	6273951	4794560	6294921	6272287	4802350	4777227	3014831	6111702	4769856	2981370	5961389	1429143	5781505	5773648	5747768	5752836	5773846	5833243	5873919	5760430	3062667	3066217	3036632	4934589	4779509	6082667	6128632
GCF_001751305.1 | Streptomyces nanshensis SCSIO M10372 - ST 410:252	4840135	4087058	2945239	4879645	2933705	4993766	4636248	10271613	4794341	4885705	4405896	4880674	4831868	4866043	4830137	4885601	4865642	4914814	4846734	4937673	4887562	2916268	4567987	7141155	4654649	2961404	4834251	4890378	4840565	4829371	2910423	7194546	4862148	6712048	4894307	7077676	7160765	5017019	4896139	1423357	2883940	5693025	2916268	4868239	2937504	4825584	2897776	4697141	4963433	7157491	4937644	4960396	7167511	7132044	2884326	4949626	7148516	2907845	4917546	1418743	4797497	4780703	4774274	4847384	4865205	4901468	4889759	4756485	2916268	2933203	2882390	5690698	7275033	4902241	4868239
GCF_001905405.1 | Streptomyces sp. TSRI0445 - ST 416:253	6753141	5214506	3118594	6611638	3129099	6663131	5949707	4794341	7769856	6744522	6802517	6644837	7230989	6731314	6490325	6797769	6637568	6525265	6495264	6668464	6648918	3123835	5801182	4983368	5983194	3130934	6316238	6321314	6430032	7186645	3140008	4998332	7548874	4775438	6651785	4856197	4972089	6293447	6236521	1502976	3082731	5215406	3123835	6487616	3126669	6449400	3053888	5992832	6345677	5003237	6366971	6343660	5006082	4987696	3148004	6281056	4975411	3062098	6593550	1503966	6485904	6486714	6500076	6708663	6732956	6796858	6817078	6464829	3123835	3124189	3080144	5213067	4955181	6296018	6487616
GCF_001905785.1 | Streptomyces sp. CB02130 - ST 422:254	7394430	5152202	3134394	6655285	3122436	6784844	5842298	4885705	6744522	8134270	6141398	6730123	6866305	6867938	6463487	6633103	6721521	6585768	6538124	6770600	6644417	3132710	5860514	5028540	5865900	3131186	6196398	6338251	6425689	6781199	3135404	5046462	6818962	4790761	6607622	4925334	5017382	6242687	6288007	1521288	3081124	5243227	3132710	6481030	3101092	6464573	3034623	6004553	6299394	5023574	6314133	6298713	5055397	5009717	3123594	6332296	5014905	3105087	6586039	1524300	6626810	6618714	6644298	6664954	6686788	6758812	6771700	6593031	3132710	3096380	3079676	5240643	4998890	6341183	6481030
