	GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545
GCF_000590515.1 | Streptomyces sp. PRh5 - ST 261:532	11084188	7581865	7632213	7332360	9023057	7553918	8043489	9311322	7907539	8785523	9129555	8914825	9342291	9358034
GCF_001509775.1 | Streptomyces violaceusniger NRRL F-8817 - ST 383:533	7581865	10460168	10009527	9740865	7376478	10017246	8705759	7622431	8684834	7300774	7748601	7302620	7579051	7610480
GCF_001598115.1 | Streptomyces sp. AgN23 - ST 398:534	7632213	10009527	10858739	9743541	7437659	9981782	8796199	7725158	8785740	7394201	7830035	7426509	7666017	7697932
GCF_002154275.1 | Streptomyces antimycoticus NRRL B-24289 - ST 94:535	7332360	9740865	9743541	10807181	7174299	9787488	8465178	7400791	8405483	7076037	7523693	7061979	7385836	7409107
GCF_002155885.1 | Streptomyces rhizosphaericus NRRL B-24304 - ST 99:536	9023057	7376478	7437659	7174299	11558421	7367605	7827796	8807357	7632319	8521317	9107169	10567080	10781539	10841899
GCF_003949695.1 | Streptomyces sp. WAC05858 - ST 531:537	7553918	10017246	9981782	9787488	7367605	10846423	8689720	7609955	8649386	7365157	7734656	7268379	7591427	7625719
GCF_005405925.1 | Streptomyces antimycoticus NBRC 12839 - ST 67:538	8043489	8705759	8796199	8465178	7827796	8689720	11174199	8403034	9975866	7953662	8327789	7785189	8102255	8118918
GCF_005938145.1 | Streptomyces sp. DASNCL29 - ST 576:539	9311322	7622431	7725158	7400791	8807357	7609955	8403034	11081629	8217454	9125474	9329382	8765918	9212598	9207843
GCF_009936315.1 | Streptomyces antimycoticus NBRC 100767 - ST 95:540	7907539	8684834	8785740	8405483	7632319	8649386	9975866	8217454	11000615	7750498	8134514	7600122	7968923	7989373
GCF_010892295.1 | Streptomyces rhizosphaericus 0250 - ST 662:541	8785523	7300774	7394201	7076037	8521317	7365157	7953662	9125474	7750498	11215696	9591786	8335910	8780006	8804497
GCF_014076605.1 | Streptomyces sp. GMR22 - ST 687:542	9129555	7748601	7830035	7523693	9107169	7734656	8327789	9329382	8134514	9591786	11420050	8951583	9429765	9456084
GCF_017942185.1 | Streptomyces rhizosphaericus DSM 41760 - ST 99:543	8914825	7302620	7426509	7061979	10567080	7268379	7785189	8765918	7600122	8335910	8951583	11044339	10377558	10542834
GCF_018138705.1 | Streptomyces indonesiensis DSM 41759 - ST 98:544	9342291	7579051	7666017	7385836	10781539	7591427	8102255	9212598	7968923	8780006	9429765	10377558	11666822	12196117
GCF_018138715.1 | Streptomyces asiaticus DSM 41761 - ST 98:545	9358034	7610480	7697932	7409107	10841899	7625719	8118918	9207843	7989373	8804497	9456084	10542834	12196117	11877923
