	GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729
GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	1.0	0.9196599361000001	0.9166159213	0.9166057710000001	0.8865197103	0.8865814786	0.9843408205	0.9846852492	0.8911480459000001	0.9822976352	0.9825455801	0.9166039207000001	0.9173322948	0.9222975203	0.9223934095	0.9196419199	0.9223989138
GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	0.9196599361000001	1.0	0.9453381613	0.9452968892	0.8853612801	0.885365783	0.9199352891	0.9200213919	0.8898715971000001	0.9193949226	0.9196602631	0.9439503686	0.9294029732	0.9348720427	0.9349058816	0.9319451467000001	0.9348312739
GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	0.9166159213	0.9453381613	1.0	0.9997483101	0.8847573316	0.8847739958	0.9168789152000001	0.9170316331	0.8888621665	0.9166785770000001	0.9170636790000001	0.9568135895000001	0.9275963614	0.9309592657	0.9310365805	0.9296274278000001	0.9309970502
GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	0.9166057710000001	0.9452968892	0.9997483101	1.0	0.8847655372000001	0.8847465717	0.9168598392	0.9169539013	0.8889101708	0.9166067714	0.9170328983	0.9568157370000001	0.9274328024	0.9309083601	0.9309712344000001	0.9295235894	0.9309266207
GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	0.8865197103	0.8853612801	0.8847573316	0.8847655372000001	1.0	0.9952385107	0.8865643446	0.8866698415	0.8878746866	0.8867275717	0.8865794308	0.8846882508	0.8857996486	0.8873755750000001	0.8873948985000001	0.8865369387	0.88740253
GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	0.8865814786	0.885365783	0.8847739958	0.8847465717	0.9952385107	1.0	0.8864617990000001	0.8865678919000001	0.8875470142	0.8866093058000001	0.8864289515	0.8847498655	0.8854882348	0.8870978175	0.8871540949000001	0.8862008095	0.8871335442
GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	0.9843408205	0.9199352891	0.9168789152000001	0.9168598392	0.8865643446	0.8864617990000001	1.0	0.9840641903	0.8910550866	0.9825763334000001	0.9817913102	0.9166492648000001	0.9177220727000001	0.9223913155000001	0.9224775044	0.9198804132	0.9225412908
GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	0.9846852492	0.9200213919	0.9170316331	0.9169539013	0.8866698415	0.8865678919000001	0.9840641903	1.0	0.8913176579000001	0.9820960098	0.9854096305000001	0.9169510747	0.9175194036000001	0.9226885819	0.9227327157	0.9196906118	0.9227202932
GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	0.8911480459000001	0.8898715971000001	0.8888621665	0.8889101708	0.8878746866	0.8875470142	0.8910550866	0.8913176579000001	1.0	0.8913691917000001	0.8915979451	0.8884894086	0.8906180585000001	0.8915114562	0.8920679601	0.8905217474	0.8920763805
GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	0.9822976352	0.9193949226	0.9166785770000001	0.9166067714	0.8867275717	0.8866093058000001	0.9825763334000001	0.9820960098	0.8913691917000001	1.0	0.9807096427	0.9162097563	0.9173173289000001	0.9217983764000001	0.9223120567	0.9192352889000001	0.9224264648
