	GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	GCF_002080455.1 | Streptomyces sp. Sge12 - ST 433:723	GCF_003148825.1 | Streptomyces sp. CG 926 - ST 498:724	GCF_008642275.1 | Streptomyces venezuelae ATCC 21018 - ST 600:725	GCF_014648615.1 | Streptomyces nojiriensis JCM 3382 - ST 45:726	GCF_016755855.1 | Streptomyces nojiriensis NBRC 13794 - ST 45:727	GCF_016755875.1 | Streptomyces spororaveus NBRC 15456 - ST 47:728	GCF_017639205.1 | Streptomyces nojiriensis JCM 3382 - ST 45:729
GCF_000717925.1 | Streptomyces sp. NRRL S-241 - ST 277:713	1.0	0.7384019562	0.7232861146	0.7232090203	0.5692397419	0.5685904848000001	0.8757658537	0.8820577060000001	0.5422683718	0.8655231469	0.8629536033	0.7100621624	0.6708730575	0.7171193695	0.717548406	0.6909696922	0.7160503134
GCF_000718935.1 | Streptomyces sp. NRRL S-237 - ST 289:714	0.7336158949	1.0	0.807195541	0.8069034391000001	0.5635752136000001	0.5634164725	0.7261548335	0.7237348522	0.5379867269	0.7237298667000001	0.7206480673	0.7820989140000001	0.7024746399	0.7719393661	0.7732405678000001	0.7301189437000001	0.7716685657
GCF_000718955.1 | Streptomyces sp. NRRL S-575 - ST 290:715	0.7300791905	0.8200922401	1.0	1.0149085473	0.5606666639	0.5615539774	0.7226545592	0.7341812311	0.5370447626	0.7208645067	0.7153201788	0.8369561464	0.7123202580000001	0.7615310463	0.7625767593	0.7431927354000001	0.7616110519
GCF_000720795.1 | Streptomyces sp. NRRL S-515 - ST 290:716	0.7304021859000001	0.8202455872000001	1.0154657919	1.0	0.5608835114	0.5617695844	0.7229034491	0.7345860675	0.5369984712	0.7216088358	0.7156139928	0.837073257	0.7131080407	0.7616978508000001	0.7630240233000001	0.7434400019	0.762104318
GCF_000725725.1 | Streptomyces xanthophaeus NRRL B-3004 - ST 325:717	0.5825316675000001	0.5804974506	0.5684198278	0.5683276287	1.0	0.9697198126000001	0.5830787936	0.5835031432000001	0.5482612406	0.5884091887	0.5769042511	0.5624337683	0.5510583763	0.5770083544	0.5770068372	0.5665421161	0.57686352
GCF_000725805.1 | Streptomyces xanthophaeus NRRL B-5414 - ST 232:718	0.5782549484	0.5767311603	0.5657850083	0.5656916418	0.9636996757	1.0	0.5793585291000001	0.5808942634	0.5456658564	0.5869306121	0.575624796	0.5587689491	0.5491470939	0.5773676764	0.5772588841	0.5643277947	0.5766749084
GCF_001270565.1 | Streptomyces virginiae NRRL B-1447 - ST 351:719	0.8914644423	0.7439938677	0.7287640188000001	0.7286149603000001	0.5799879058	0.5798873726	1.0	0.8911491442	0.5495241449	0.8846901773	0.8776166345	0.7171417556	0.6741395561	0.7254579165	0.7261117304	0.6986697695	0.7229209046
GCF_001279625.1 | Streptomyces sp. WM6368 - ST 358:720	0.9417313822000001	0.7777385710000001	0.7765572529	0.7765590793	0.6087639385	0.6098280015	0.9346831676	1.0	0.5753261349000001	0.9200304157	0.9246952949	0.7554145572000001	0.7145805481	0.7596576588	0.7607880811000001	0.7331081986	0.7587908475
GCF_001746425.1 | Streptomyces subrutilus 10-1-1 - ST 409:721	0.5874580784	0.5866219009	0.5763857684	0.5760198172000001	0.5803978886	0.5812588994	0.5848350162	0.5837765746	1.0	0.5918931057	0.5914211497	0.5779634852000001	0.5601022983	0.5879044598000001	0.5928874255000001	0.5840928592	0.5908043946
GCF_002028385.1 | Streptomyces sp. 3 - ST 431:722	0.8440750228	0.7104000182	0.6964599748	0.6967965227	0.5607347643	0.5628197816	0.8475738526000001	0.8403776676	0.5328230915000001	1.0	0.8416662477	0.6827580508000001	0.6561208334	0.6960142102	0.7007723695	0.681724384	0.6987506356000001
