	GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507
GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	7612017	6917088	5905585	6141482	5564220	7053556	6624320	7151819	7157508	7078906	7134523	7086496	5160115	7043974	7091034	3683342	5427343	6761965	7118814	7160059	5419594	7180248	7110597	5459790	5944604
GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	6917088	8003530	5843918	6240223	5499333	7608774	6911523	7566144	7389515	7402445	7387077	7374292	5163340	7301304	7641717	3640427	5380510	7131310	7516072	7312323	5359611	7471692	7212205	5557186	5879346
GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	5905585	5843918	7987504	5357076	5584577	5936027	5702475	5963100	5979073	5952142	5970918	5930232	5147192	6004838	5944813	3670532	5470246	5701238	5995952	5973012	5457621	5999582	5967905	5492801	6564632
GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	6141482	6240223	5357076	6664327	5080937	6384730	6423698	6353185	6452623	6389987	6412978	6418667	4763955	6346396	6366685	3615829	4983282	6101799	6415760	6445367	5001839	6353888	6337386	5034588	5434470
GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	5564220	5499333	5584577	5080937	7907728	5575484	5426055	5591186	5574815	5580352	5583826	5575856	5188824	5579939	5575647	3705346	5473792	5366088	5580483	5588329	5452917	5600590	5543264	6222508	5609971
GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	7053556	7608774	5936027	6384730	5575484	8839931	7111448	8000475	7620631	7479370	7491568	7483899	5253430	7497900	7777617	3694284	5462892	7140594	7753187	7515019	5459072	7599604	7339115	5756665	5997717
GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	6624320	6911523	5702475	6423698	5426055	7111448	7780669	7129999	7223471	7179980	7116910	7181538	5112062	7152382	7031210	3630265	5306401	6818109	7127977	7431098	5295477	7082377	7007520	5573676	5738654
GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	7151819	7566144	5963100	6353185	5591186	8000475	7129999	8509075	7694905	7521018	7579730	7508232	5233391	7587530	7754337	3691245	5464124	7163283	7805517	7550851	5481832	7650472	7379371	5764027	6042240
GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	7157508	7389515	5979073	6452623	5574815	7620631	7223471	7694905	8211538	7624192	7639765	7591739	5232443	7640265	7614277	3687852	5515035	7313244	7636547	7724416	5479016	7527752	7475099	5753397	6005068
GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	7078906	7402445	5952142	6389987	5580352	7479370	7179980	7521018	7624192	8168388	7644026	7738625	5215906	7510280	7549381	3702016	5499875	7247908	7733840	7578900	5495217	7528445	7463998	5660538	5997134
GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	7134523	7387077	5970918	6412978	5583826	7491568	7116910	7579730	7639765	7644026	8079482	7697835	5224961	7471424	7532318	3688572	5487741	7264482	7607593	7558335	5480225	7534631	7503346	5642391	6011107
GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	7086496	7374292	5930232	6418667	5575856	7483899	7181538	7508232	7591739	7738625	7697835	7951559	5228650	7447938	7507206	3699449	5440937	7201578	7705273	7550505	5455145	7533077	7442188	5635628	5997644
GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	5160115	5163340	5147192	4763955	5188824	5253430	5112062	5233391	5232443	5215906	5224961	5228650	7718603	5247992	5225783	3509932	5922738	4982390	5236627	5248302	5842764	5223593	5209910	5118170	5248773
GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	7043974	7301304	6004838	6346396	5579939	7497900	7152382	7587530	7640265	7510280	7471424	7447938	5247992	8184045	7468184	3716821	5507643	7195629	7515455	7609937	5479112	7437016	7365464	5759154	6030998
GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	7091034	7641717	5944813	6366685	5575647	7777617	7031210	7754337	7614277	7549381	7532318	7507206	5225783	7468184	8079654	3705956	5459811	7143330	7649068	7467490	5454911	7616483	7353991	5651033	5997793
GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	3683342	3640427	3670532	3615829	3705346	3694284	3630265	3691245	3687852	3702016	3688572	3699449	3509932	3716821	3705956	7280536	3643152	3551872	3701141	3708616	3654257	3707529	3712051	3698259	3715571
GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	5427343	5380510	5470246	4983282	5473792	5462892	5306401	5464124	5515035	5499875	5487741	5440937	5922738	5507643	5459811	3643152	8653184	5257091	5511180	5494856	7447074	5498763	5447275	5328156	5575503
GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	6761965	7131310	5701238	6101799	5366088	7140594	6818109	7163283	7313244	7247908	7264482	7201578	4982390	7195629	7143330	3551872	5257091	7742387	7231997	7225519	5240741	7152441	7068487	5416025	5719115
GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	7118814	7516072	5995952	6415760	5580483	7753187	7127977	7805517	7636547	7733840	7607593	7705273	5236627	7515455	7649068	3701141	5511180	7231997	8198194	7545633	5526344	7627607	7440833	5656374	6016644
GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	7160059	7312323	5973012	6445367	5588329	7515019	7431098	7550851	7724416	7578900	7558335	7550505	5248302	7609937	7467490	3708616	5494856	7225519	7545633	8368647	5482028	7499008	7455931	5707536	5993163
GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	5419594	5359611	5457621	5001839	5452917	5459072	5295477	5481832	5479016	5495217	5480225	5455145	5842764	5479112	5454911	3654257	7447074	5240741	5526344	5482028	8887909	5456550	5440838	5353965	5556378
GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	7180248	7471692	5999582	6353888	5600590	7599604	7082377	7650472	7527752	7528445	7534631	7533077	5223593	7437016	7616483	3707529	5498763	7152441	7627607	7499008	5456550	8180685	7485328	5675226	6012779
GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	7110597	7212205	5967905	6337386	5543264	7339115	7007520	7379371	7475099	7463998	7503346	7442188	5209910	7365464	7353991	3712051	5447275	7068487	7440833	7455931	5440838	7485328	7904977	5634402	5970933
GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	5459790	5557186	5492801	5034588	6222508	5756665	5573676	5764027	5753397	5660538	5642391	5635628	5118170	5759154	5651033	3698259	5328156	5416025	5656374	5707536	5353965	5675226	5634402	8150972	5581705
GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507	5944604	5879346	6564632	5434470	5609971	5997717	5738654	6042240	6005068	5997134	6011107	5997644	5248773	6030998	5997793	3715571	5575503	5719115	6016644	5993163	5556378	6012779	5970933	5581705	8306804
