	GCF_000720215.1 | Streptomyces sp. NRRL S-475 - ST 308:175	GCF_000720505.1 | Streptomyces sp. NRRL S-146 - ST 311:176	GCF_004803895.1 | Streptomyces hawaiiensis ATCC 12236 - ST 573:177	GCF_009872555.1 | Streptomyces sp. SID5643 - ST 641:178	GCF_014202475.1 | Streptomyces paradoxus DSM 43350 - ST 691:179	GCF_014205055.1 | Streptomyces luteogriseus DSM 40483 - ST 695:180	GCF_014701095.1 | Streptomyces tuirus JCM 4255 - ST 722:181	GCF_900215615.1 | Streptomyces sp. Ag82_G6-1 - ST 805:182
GCF_000720215.1 | Streptomyces sp. NRRL S-475 - ST 308:175	1	358507	468838	505849	486273	249067	360071	373134
GCF_000720505.1 | Streptomyces sp. NRRL S-146 - ST 311:176	358507	1	443894	475969	464464	348557	293079	269534
GCF_004803895.1 | Streptomyces hawaiiensis ATCC 12236 - ST 573:177	468838	443894	1	469253	438645	470751	432281	465614
GCF_009872555.1 | Streptomyces sp. SID5643 - ST 641:178	505849	475969	469253	1	375709	505396	462148	486716
GCF_014202475.1 | Streptomyces paradoxus DSM 43350 - ST 691:179	486273	464464	438645	375709	1	489525	448705	480238
GCF_014205055.1 | Streptomyces luteogriseus DSM 40483 - ST 695:180	249067	348557	470751	505396	489525	1	353356	362173
GCF_014701095.1 | Streptomyces tuirus JCM 4255 - ST 722:181	360071	293079	432281	462148	448705	353356	1	313236
GCF_900215615.1 | Streptomyces sp. Ag82_G6-1 - ST 805:182	373134	269534	465614	486716	480238	362173	313236	1
