	GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	GCF_000718865.1 | Streptomyces rimosus NRRL WC-3882 - ST 249:662	GCF_000720565.1 | Streptomyces rimosus NRRL WC-3925 - ST 249:663	GCF_000720605.1 | Streptomyces rimosus NRRL WC-3558 - ST 249:664	GCF_000720715.1 | Streptomyces rimosus NRRL WC-3900 - ST 249:665	GCF_000721045.1 | Streptomyces rimosus NRRL B-2626 - ST 249:666	GCF_000721665.1 | Streptomyces rimosus NRRL WC-3929 - ST 285:667	GCF_000725565.1 | Streptomyces peucetius NRRL WC-3868 - ST 323:668	GCF_001279015.1 | Streptomyces rimosus NRRL WC-3909 - ST 249:669	GCF_001279025.1 | Streptomyces sp. NRRL WC-3701 - ST 249:670	GCF_001279065.1 | Streptomyces rimosus NRRL WC-3869 - ST 323:671	GCF_001279075.1 | Streptomyces rimosus NRRL WC-3875 - ST 249:672	GCF_001279095.1 | Streptomyces rimosus NRRL WC-3899 - ST 249:673	GCF_001279105.1 | Streptomyces rimosus NRRL WC-3873 - ST 249:674	GCF_001279345.1 | Streptomyces rimosus NRRL WC-3896 - ST 352:675	GCF_001279365.1 | Streptomyces sp. NRRL F-5755 - ST 353:676	GCF_001279375.1 | Streptomyces rimosus NRRL WC-3898 - ST 249:677	GCF_001507395.1 | Streptomyces rimosus NRRL WC-3897 - ST 249:678	GCF_003947575.1 | Streptomyces sp. WAC 06783 - ST 528:679	GCF_003947585.1 | Streptomyces sp. WAC 06725 - ST 529:680	GCF_003994375.1 | Streptomyces lydicus WYEC 108 - ST 547:681	GCF_004125265.1 | Streptomyces lydicus ATCC 31975 - ST 554:682	GCF_004125275.1 | Streptomyces lydicus SW_ACT1 - ST 547:683	GCF_006229535.1 | Streptomyces rimosus WT5260 - ST 249:684	GCF_008087005.1 | Streptomyces sp. WAC01526 - ST 594:685	GCF_008704655.1 | Streptomyces rimosus ATCC 10970 - ST 249:686	GCF_009811595.1 | Streptomyces libani NBRC 13452 - ST 92:687	GCF_009811635.1 | Streptomyces tubercidicus NBRC 13090 - ST 59:688
GCF_000331185.2 | Streptomyces rimosus ATCC 10970 - ST 249:652	1.0	0.9999407486	0.9864051765	0.9999530623	0.99992143	0.9998987675000001	0.9729158737	0.9998112913	0.999898276	0.9997700988	0.9997703834	0.9998158810000001	0.9998562029	0.9998840161	0.9999488309000001	0.9729397907	0.9779672429	0.9998310495	0.9998684378	0.9783383685	0.9998351445	0.9998173880000001	0.9997940854	0.9858585245	0.9633514526	0.9998234631	0.9998689397	0.9863332917000001	0.9867752534	0.8639487928	0.8648349496000001	0.8638849379	0.9999471182	0.864113491	0.9999839211	0.8646119191	0.8642338443
GCF_000707925.2 | Streptomyces rimosus R6-500 - ST 249:653	0.9999407486	1.0	0.986625429	0.9999267963	0.999892839	0.9998610889	0.9735281584000001	0.9997824083000001	0.9998635199	0.9997347618	0.9997774592	0.9997530188	0.9998295043000001	0.9998512282	0.9998995178000001	0.9735031173	0.9786444205	0.999783104	0.9998472337000001	0.9790512718000001	0.9998349654	0.9997571928000001	0.999793562	0.9861764060000001	0.9640919372000001	0.9998040813000001	0.9998543567	0.9866899240000001	0.9872289901	0.8639775686000001	0.8646852331	0.8639127644	0.9999187118	0.8642357356	0.9998575070000001	0.8643554590000001	0.8640511195
GCF_000716515.1 | Streptomyces rimosus NRRL B-16073 - ST 269:654	0.9864051765	0.986625429	1.0	0.9865227982	0.9863246296	0.9865148203	0.9739111952	0.9864506793000001	0.9863934758	0.9865184168000001	0.9865467157000001	0.9864303586000001	0.9863073386000001	0.9864887462	0.9864323107	0.9738789945	0.9786972631	0.9867219997000001	0.9864158677	0.9789573931000001	0.9865062797	0.9864730223	0.9864815725	0.9865322854	0.9634345716	0.9865003111	0.9864904841000001	0.9869566437	0.9876018427000001	0.8637508821000001	0.8645566897	0.8637237663	0.9863649368	0.8639934765	0.9866359535	0.8637039426	0.8635734257000001
GCF_000716845.1 | Streptomyces capuensis NRRL B-12337 - ST 249:655	0.9999530623	0.9999267963	0.9865227982	1.0	0.9998374895000001	0.9998402457000001	0.9733001717	0.9997990510000001	0.9998181179000001	0.9998125639000001	0.9998312944000001	0.9997813907	0.999839801	0.9998327265	0.9998454032	0.9732501947000001	0.9782484582000001	0.9998541318	0.9998896465	0.9785534693000001	0.9998717906000001	0.9998825286	0.9998653501	0.9859341315000001	0.9638108214000001	0.9998667083	0.9999077317	0.9865547301	0.9870238201	0.8635135046	0.8641183087000001	0.8634722247000001	0.9999616417	0.8638647073	0.9999037447	0.8638469253000001	0.8637710641
GCF_000717285.1 | Streptomyces rimosus NRRL ISP-5260 - ST 249:656	0.99992143	0.999892839	0.9863246296	0.9998374895000001	1.0	0.9998148063000001	0.9729967336	0.9998017006000001	0.9998015325	0.9998031918	0.9997921229000001	0.9997511792	0.9997850141000001	0.9998676213000001	0.9998442889	0.9729565122	0.9780582656000001	0.9998644528	0.9998673554	0.9784029023	0.9998526901	0.9998037225	0.9998360836000001	0.9859158451000001	0.9633891193	0.9998500836	0.9998821860000001	0.9863603199000001	0.9867927924000001	0.8635734091	0.8641485518	0.8634984861	0.9999002378	0.8638936964	0.9999108199000001	0.8638298645	0.8637276366000001
GCF_000718295.1 | Streptomyces capuensis NRRL B-3501 - ST 249:657	0.9998987675000001	0.9998610889	0.9865148203	0.9998402457000001	0.9998148063000001	1.0	0.9733192758	0.9997855720000001	0.9998027972	0.9997999793000001	0.9997743804	0.9997443652	0.9998110832	0.9998344139	0.9998443853000001	0.9732984241	0.9782668867000001	0.9998262838	0.9998658138000001	0.9785933675	0.9998361	0.9998477792	0.9998125655000001	0.985941484	0.9638526286	0.9998304592	0.9998730495	0.9865776111000001	0.9870070068000001	0.8635262134	0.8641157711	0.8634866819	0.9999262270000001	0.8638770786000001	0.9998522373000001	0.8638385411	0.8637773721
GCF_000718675.1 | Streptomyces rimosus NRRL WC-3930 - ST 285:658	0.9729158737	0.9735281584000001	0.9739111952	0.9733001717	0.9729967336	0.9733192758	1.0	0.9732205672	0.9731236155	0.9731081886	0.9734075405	0.9731737222000001	0.9730186406	0.9733752918	0.9731263388	0.9998111108000001	0.9747774048000001	0.9735843164	0.9731806916	0.9751181549000001	0.9732509355000001	0.9732237290000001	0.9732703381000001	0.9738059843	0.964325808	0.9733212607	0.9732631837000001	0.9735833835000001	0.9746661912000001	0.8633480312	0.8641026925	0.8633474713	0.9729343431	0.8639901806	0.9732269475	0.8637480362000001	0.863136839
GCF_000718715.1 | Streptomyces rimosus NRRL WC-3874 - ST 249:659	0.9998112913	0.9997824083000001	0.9864506793000001	0.9997990510000001	0.9998017006000001	0.9997855720000001	0.9732205672	1.0	0.9997897805	0.9997135753	0.9997263676	0.9997181125000001	0.9997705335	0.9997983702000001	0.9997834749000001	0.9731426766000001	0.978261134	0.9997445849000001	0.9997873527000001	0.9785579988	0.9997712620000001	0.9997693304	0.9997622731	0.9860315363000001	0.9635325784000001	0.9997627101000001	0.9997858114	0.9863844097000001	0.9868864927000001	0.8636040676000001	0.8641362595000001	0.8635876914	0.9998100390000001	0.8639977591	0.9997929968	0.8640439062	0.8637578681
GCF_000718815.1 | Streptomyces sp. NRRL WC-3703 - ST 249:660	0.999898276	0.9998635199	0.9863934758	0.9998181179000001	0.9998015325	0.9998027972	0.9731236155	0.9997897805	1.0	0.9998162337000001	0.9997888901	0.9997925331	0.9998189485000001	0.9998721539000001	0.999803345	0.9730158114	0.9781863561	0.9998452109	0.9998404862	0.9784490184	0.999805425	0.9998361779	0.9997985650000001	0.9858460047000001	0.9634447432000001	0.9998099627	0.9998422161	0.9864124134000001	0.9867109421	0.8635995399	0.8642165905	0.8635246197	0.9998759933	0.8639263894	0.9998982582	0.8639056254	0.8637857728
GCF_000718835.1 | Streptomyces rimosus NRRL WC-3876 - ST 249:661	0.9997700988	0.9997347618	0.9865184168000001	0.9998125639000001	0.9998031918	0.9997999793000001	0.9731081886	0.9997135753	0.9998162337000001	1.0	0.9997529614	0.999717135	0.9997634577000001	0.9998091722	0.9998221005000001	0.9730406408000001	0.9783963774000001	0.9997669554	0.9997861588	0.9788010089	0.9997350957000001	0.9997943881	0.999765023	0.9858726446	0.9640063358000001	0.9997518380000001	0.9997958087000001	0.9865100082	0.9869858635000001	0.8640649849	0.8644140418	0.8640213485	0.9997866177	0.8644383398000001	0.9996691875	0.8643768980000001	0.864047026
