	GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	GCF_000720405.1 | Streptomyces sp. NRRL B-24051 - ST 310:11	GCF_000721595.1 | Streptomyces sp. NRRL S-325 - ST 318:12	GCF_001189025.1 | Streptomyces europaeiscabiei NCPPB 4064 - ST 349:13	GCF_001418625.1 | Streptomyces luridiscabiei NRRL B-24455 - ST 372:14	GCF_001426325.1 | Streptomyces sp. Root1295 - ST 376:15	GCF_001427565.1 | Streptomyces sp. Root63 - ST 376:16	GCF_001434355.1 | Streptomyces anulatus ATCC 11523 - ST 378:17	GCF_001723115.1 | Streptomyces griseus NRRL B-2165 - ST 12:18	GCF_001905485.1 | Streptomyces sp. TSRI0261 - ST 417:19	GCF_001905525.1 | Streptomyces sp. TSRI0395 - ST 419:20	GCF_001905575.1 | Streptomyces sp. CB00072 - ST 420:21	GCF_001905645.1 | Streptomyces sp. CB02115 - ST 421:22	GCF_002188345.1 | Streptomyces sp. CS057 - ST 441:23	GCF_002551015.1 | Streptomyces sp. wa1071 - ST 449:24	GCF_002551045.1 | Streptomyces sp. wa1063 - ST 450:25	GCF_002551055.1 | Streptomyces sp. wa1002 - ST 449:26	GCF_002551145.1 | Streptomyces sp. st115 - ST 453:27	GCF_002551225.1 | Streptomyces sp. rh206 - ST 455:28	GCF_002551305.1 | Streptomyces sp. or20 - ST 456:29	GCF_002551465.1 | Streptomyces sp. b84 - ST 463:30	GCF_002910875.1 | Streptomyces sp. SM13 - ST 480:31	GCF_002910905.1 | Streptomyces sp. SM11 - ST 481:32	GCF_002910935.1 | Streptomyces sp. B226SN101 - ST 482:33	GCF_002910985.1 | Streptomyces sp. B188M101 - ST 482:34	GCF_003116675.1 | Streptomyces sp. CS090A - ST 492:35	GCF_003367645.1 | Streptomyces sp. IB2014 011-12 - ST 503:36	GCF_003610995.1 | Streptomyces griseus ATCC 13273 - ST 509:37	GCF_004524875.1 | Streptomyces sp. S501 - ST 566:38	GCF_005234185.1 | Streptomyces sp. BPSDS2 - ST 574:39	GCF_009862355.1 | Streptomyces sp. SID7834 - ST 623:40	GCF_009865505.1 | Streptomyces sp. SID2119 - ST 637:41	GCF_009866455.1 | Streptomyces griseus CGMCC 4.18 - ST 12:42	GCF_009872615.1 | Streptomyces sp. SID5594 - ST 253:43	GCF_010548045.1 | Streptomyces anulatus SID10689 - ST 645:44	GCF_010548165.1 | Streptomyces cyaneofuscatus SID10855 - ST 646:45	GCF_010548505.1 | Streptomyces sp. SID14515 - ST 652:46	GCF_010548615.1 | Streptomyces anulatus SID505 - ST 653:47	GCF_010548705.1 | Streptomyces anulatus SID7903 - ST 655:48	GCF_010550525.1 | Streptomyces anulatus SID9598 - ST 655:49	GCF_013167895.1 | Streptomyces fulvorobeus NBRC 15897 - ST 51:50	GCF_013364315.1 | Streptomyces fulvissimus NA06532 - ST 681:51	GCF_013409565.1 | Streptomyces fulvorobeus DSM 41455 - ST 51:52	GCF_014495705.1 | Streptomyces sp. CB00271 - ST 417:53	GCF_014655335.1 | Streptomyces griseus JCM 4516 - ST 718:54	GCF_016653995.1 | Streptomyces sp. MBT58 - ST 739:55	GCF_016772455.1 | Streptomyces fulvissimus DF - ST 745:56	GCF_016901035.1 | Streptomyces sp. RHZ10 - ST 748:57	GCF_017358145.1 | Streptomyces sp. CA-256286 - ST 752:58	GCF_018070665.1 | Streptomyces sp. 404i - ST 768:59	GCF_018070745.1 | Streptomyces sp. C3-3 - ST 769:60	GCF_018530825.1 | Streptomyces sp. Tu10 - ST 772:61	GCF_018619185.1 | Streptomyces sp. McG3 - ST 776:62	GCF_019049185.1 | Streptomyces anulatus AC569_RSS891 - ST 782:63	GCF_900091905.1 | Streptomyces sp. OspMP-M43 - ST 793:64	GCF_900105705.1 | Streptomyces griseus DSM 40236 - ST 12:65	GCF_900460065.1 | Streptomyces griseus NCTC13033 - ST 12:66
GCF_000010605.1 | Streptomyces griseus NBRC 13350 - ST 12:1	1.0	0.9313909582000001	0.7637684563	0.3923944372	0.6351103549	0.6332415118	0.6997881681	0.6341888635	0.9028977423000001	0.3909030838	0.39330176980000003	0.3914220443	0.7666815392	0.6188627357	0.7729219375	0.7743222533	0.7716697623000001	0.9280692596000001	0.7452403361000001	0.7661878539	0.7640043581	0.7751945985	0.7596240268000001	0.7541506605	0.7556503219	0.7566422562	0.6985568216	0.7525257933	0.7739571672000001	0.763243762	0.6747878434	0.6324137493	0.6975142199000001	0.6930366494	0.6355777119	0.6182706409000001	0.5923959818	0.39087464920000003	0.7078901545	0.33691094320000003	0.5833213686000001	0.9942594889	0.6351103549	0.7555727411000001	0.6256597732	0.7085265979	0.7359497136	0.7579349185	0.7349045376000001	0.36461536250000004	0.6421304226	0.3646558496	0.7172946323	0.6977388883	0.6181826458	0.6388336482	0.6598888196	0.6414816926	0.7413690191000001	0.7399041111	0.7694398116000001	0.8024287354	0.7567619623	0.8851516318	0.9966563027	0.9871014608
GCF_000177175.2 | Streptomyces sp. XylebKG-1 - ST 240:2	0.9115769549	1.0	0.7488541442000001	0.38404806950000003	0.6223048867000001	0.6198988213000001	0.6800111731	0.6191434114000001	0.9081504677000001	0.3811063686	0.3833224362	0.3824574254	0.7506581492000001	0.6025573764000001	0.7534010339	0.7551679327	0.7532581061	0.8615491424	0.7292716650000001	0.7488387977000001	0.7467036996	0.7545340343	0.7430911086	0.7384301514	0.7403934614000001	0.7407555909	0.6843137801	0.7380940192000001	0.7572660391	0.7495362578	0.6632749952	0.6167701003	0.6828901141	0.6791345952000001	0.6189898328	0.6047532875	0.578198384	0.38108472330000004	0.689637496	0.33090275950000003	0.5691937053	0.907922333	0.6223048867000001	0.7379883122	0.6112862778	0.6925564064	0.7172424835	0.7357073087	0.7120047762	0.3553958613	0.6299323968	0.3555364985	0.7017371107	0.6793968585	0.6060860203	0.6216835861000001	0.6467088876	0.6269030839	0.7230454885	0.7293132378	0.7498773146000001	0.7861793654	0.7412907683000001	0.8639494814	0.9202197331	0.9114501752
GCF_000239075.1 | Streptomyces sp. W007 - ST 243:3	0.7206426208000001	0.7219284276	1.0	0.3665315719	0.5994222591	0.598632072	0.6919257160000001	0.6071504595	0.708317269	0.36820932570000003	0.3664122213	0.3672321081	0.8252820804000001	0.5786317364	0.82645218	0.8276001982000001	0.8272239291	0.6803315938000001	0.7864525024	0.8186545333	0.8838186410000001	0.8176823944	0.7894349428	0.8657058335000001	0.8671698382	0.8676742905	0.6990821154	0.7970084621	0.832517642	0.8683160899	0.6616968896000001	0.613738591	0.6931869019	0.6890200089	0.5970927693	0.5857287365	0.5555831575	0.3658024402	0.7006453765	0.3178248202	0.5555047681	0.7218012381000001	0.5994222591	0.7844359077	0.5918478566	0.6850212667000001	0.7668515111	0.7819665315000001	0.7589941338	0.3384270981	0.601083231	0.3385505338	0.7526289152000001	0.6910198217	0.5829620326	0.5941029317000001	0.632632753	0.5980407289	0.7784171482000001	0.7821012287	0.8186978131	0.7162667262	0.8008008525	0.6938515557	0.7240197683	0.7171591508
GCF_000364805.1 | Streptomyces sp. PAMC 26508 - ST 252:4	0.43948457750000003	0.4394860191	0.4350848498	1.0	0.4357776192	0.442541098	0.4436950583	0.4431168331	0.4320141752	0.9350102126000001	0.9267259439000001	0.9156171263	0.4440901963	0.4261085981	0.4467447638	0.4483489062	0.4457660272	0.4150423741	0.4353465714	0.4430371502	0.4401599162	0.44483984460000003	0.4338325965	0.42920469790000004	0.4346463318	0.4335814905	0.44165082510000003	0.4411781011	0.44527338240000003	0.44029136680000003	0.4312295346	0.3989052776	0.44280911030000003	0.44089331340000004	0.43587578120000003	0.4351303267	0.4246975032	0.9169351705000001	0.4372838618	0.8549338848	0.4077371041	0.4376425659	0.4357776192	0.4332593514	0.4387886627	0.4409824324	0.4235422323	0.43263722200000004	0.4195852165	0.4250929033	0.4457357529	0.42524060500000005	0.43464960820000004	0.44433645320000004	0.4300188264	0.43849915700000003	0.41814424050000004	0.44181228780000004	0.4463100464	0.44643625470000003	0.4457631439	0.4328522872	0.44094180460000004	0.42008873900000004	0.43948837820000003	0.4373105975
GCF_000373405.1 | Streptomyces sp. ScaeMP-e10 - ST 253:5	0.6721013228	0.6728642401	0.6722954884	0.41174627700000005	1.0	0.7793264385	0.6698824109	0.7865737198	0.6624948301	0.4106245	0.4095196877	0.4122978164	0.6777535484	0.7573292568000001	0.6799540095000001	0.6816975375000001	0.6787818336	0.6325076341	0.6603149247	0.6803254998	0.6767366554	0.6823535895	0.6615326701	0.6595091622	0.6606968168	0.6628335055	0.671937867	0.6644004517000001	0.6837287229	0.6725318801	0.6428349419	0.5955870662	0.6659599682	0.6621201202	0.9414216688	0.8515678131000001	0.7273908499	0.40866612680000003	0.6863783159	0.3549007006	0.8125551354	0.6719112435	0.9999040317000001	0.6519821487	0.8912278747	0.6854970169	0.6374199748	0.6546251786	0.6324526536	0.38407458040000003	0.7839048093000001	0.3840578633	0.6429167936	0.6711699965	0.7622985594	0.7759803011	0.6332208956	0.7800977763	0.6669881296	0.6644315331	0.6768110773	0.6538253599	0.6662286795	0.6388129398	0.6728402170000001	0.6676643659
GCF_000385945.1 | Streptomyces fulvissimus DSM 40593 - ST 174:6	0.6845184232	0.6846604715	0.6858316432	0.4271186899	0.7960669932000001	1.0	0.6966135316000001	0.9314278277	0.6706814198000001	0.42374557890000003	0.4242867034	0.42572110100000005	0.6964683209	0.8599399324	0.694515314	0.6965592673000001	0.7003124811	0.6408092684000001	0.6754284662000001	0.6960205460000001	0.6877510038	0.6942785246000001	0.6726551711000001	0.6753490304	0.6762735464	0.6783802388	0.6952676771	0.688200676	0.6949838333	0.6850685285	0.6793987370000001	0.6206136085	0.6982061682	0.6933342761	0.7913008468	0.7864241481	0.7475371748	0.4261813984	0.7108917323	0.3678745289	0.7508557687	0.6808075835	0.7963798032	0.6668052576	0.8013537728	0.7120602477	0.6533572113	0.6678170518000001	0.6469387249	0.406936691	0.8937686937	0.40713110620000004	0.6649056295	0.6980279437	0.8580048871	0.8865617946000001	0.6472149793	0.8897922249	0.6927237085	0.6914837262	0.6949296955	0.6764995842	0.6797015542	0.648264088	0.6849006762000001	0.6804831365
GCF_000716025.1 | Streptomyces baarnensis NRRL B-2842 - ST 268:7	0.7269101548	0.7217202141	0.7617551281	0.41150767060000004	0.6575475421	0.6694070513	1.0	0.6727865051	0.7132508552	0.4116396739	0.4112981184	0.4129982379	0.7730705796	0.646414051	0.7738375599	0.7747185541	0.775209616	0.6837656278	0.7537269956	0.7727301181	0.7603946193000001	0.7723535563	0.7454151655	0.7502509095000001	0.7528733502	0.7534477953000001	0.9192490059	0.7627231521000001	0.7735764706	0.7609265219	0.8228251155	0.6784749222	0.9296189202	0.9228604987000001	0.6552760163	0.6538526661	0.6328673067	0.4083179562	0.875827102	0.3555251573	0.6176152163	0.7267102051000001	0.6575819408	0.7404575068	0.6626886197	0.8148028174	0.7227408692	0.7426441908	0.7192335448	0.38225897950000004	0.6691581169	0.3821628334	0.7322054793	0.9418101392	0.6479685536	0.6681656614	0.7269377466	0.6678561952000001	0.7709642401	0.7709141615	0.7706003195000001	0.7338169888	0.7608250277	0.6922930876000001	0.7284510437	0.7226229657000001
GCF_000716935.1 | Streptomyces alboviridis NRRL B-1579 - ST 38:8	0.6323275291	0.6307444157000001	0.6415959006	0.3944763119	0.7411009225	0.85912612	0.6457830018	1.0	0.6216420675000001	0.3933099485	0.3927054743	0.39508405300000005	0.6473647152	0.7997667740000001	0.6484634092	0.6497109759	0.6472584276000001	0.5933736511000001	0.6297945943000001	0.6474327346000001	0.64107998	0.6424436346	0.6289176925000001	0.6291059999999999	0.6331953306	0.6308731042	0.6521060052000001	0.6377093448000001	0.6482342667000001	0.636989016	0.6282057639	0.5808523658	0.6403169494000001	0.636332623	0.73455356	0.7379155614	0.6867653278	0.3929264498	0.6559401756000001	0.34366279180000003	0.6980791813	0.6314401269000001	0.7411886593	0.6198608461	0.7457143407	0.6546196893	0.6140670639	0.6217340045	0.6009981233	0.3761429271	0.8270800021	0.3763255177	0.6165297626	0.6477658313	0.7995623658000001	0.8242297212	0.5974262302000001	0.8317620231	0.6417093052	0.6402152120000001	0.6468386441	0.6273423960000001	0.6316082503	0.6034252373	0.6319475306	0.6287534192
GCF_000717795.1 | Streptomyces griseus NRRL WC-3480 - ST 275:9	0.9263373282	0.9519783877	0.7701941261	0.3957380391	0.6422846381	0.6365479279	0.7044639252	0.6396575285	1.0	0.3968326781	0.3989559272	0.3968952255	0.7699188457	0.6235332732000001	0.7766030104	0.7783141191	0.7723949291000001	0.8783362448	0.7465830349	0.7692742837000001	0.76668343	0.7753299734	0.7584242961000001	0.7572817562	0.7591682617000001	0.7607290646	0.7053379077	0.7570010734	0.7734965311	0.7693161820000001	0.6779982249000001	0.6376274403000001	0.6975397755	0.6932325308	0.6436666828000001	0.631351094	0.6015953541	0.3943652385	0.7108712488000001	0.3433041362	0.5906236333	0.9288777598	0.6417157091	0.7547635343	0.6335964365	0.7106854075	0.7333129084000001	0.7554267045	0.731835542	0.3660077504	0.6448600049000001	0.3663089621	0.7320997776	0.7010867275	0.6255023748	0.6397029084	0.6642601337	0.6417462025	0.7395281479	0.7471790957000001	0.7696711773	0.8027736216	0.7599244726000001	0.8859815501	0.9360566610000001	0.9265273713000001
GCF_000720395.1 | Streptomyces flavovirens NRRL B-2182 - ST 309:10	0.4355083001	0.4338226533	0.43477433320000003	0.9300855495	0.4323013994	0.436733751	0.44149971200000004	0.4394796736	0.4309274603	1.0	0.9320164169	0.9109002032	0.44326279690000003	0.42382062740000004	0.4456396502	0.4470678219	0.44111213060000004	0.412871354	0.4337990568	0.4414553872	0.43987286080000004	0.4433695676	0.4343403411	0.42882085810000004	0.4307268254	0.4330830806	0.4387883367	0.44314755240000003	0.4458960823	0.4377666496	0.4313713604	0.39539968340000003	0.44245673700000004	0.4405382545	0.4311060633	0.4334129094	0.41778254400000003	0.8898031535	0.4369823611	0.8553937960000001	0.4079456932	0.4347953223	0.4325301937	0.4293549722	0.4337375235	0.4362599969	0.41875495230000004	0.42936670520000003	0.4179559323	0.4176168474	0.43947628400000005	0.4180521432	0.42934558580000004	0.4416544578	0.4256940028	0.4322495133	0.4143186897	0.43333038700000004	0.4434593905	0.44475745590000004	0.4409457821	0.4280340926	0.4384767593	0.41642098980000003	0.4352300967	0.4319810874
