FILE	SCHEME	ST	16S	atpD	gyrB	recA	rpoB	trpB
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000009765.2_ASM976v2_genomic.gbff	scheme_round_6	-	93,93,93,93,93,93	119	117	123	118	135
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000010605.1_ASM1060v1_genomic.gbff	scheme_round_6	-	6,6,6,6,6,6	6	8	8	8	8
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000091305.1_ASM9130v1_genomic.gbff	scheme_round_6	-	136,251,251,251,251,251	165	161	166	165	180
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000092385.1_ASM9238v1_genomic.gbff	scheme_round_6	-	521,521,521,521,521,521	50	453	641	624	547
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000147815.2_ASM14781v3_genomic.gbff	scheme_round_6	-	269,269,269,269	323	268	339	337	309
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000148465.1_Scla_1.0_genomic.gbff	scheme_round_6	-	98,98,98	126	123	130	125	141
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000156695.2_ASM15669v2_genomic.gbff	scheme_round_6	-	469?	597	440	626	607	531
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000163875.1_Strep_clav_ATCC27064_genomic.gbff	scheme_round_6	-	98,98,98,98	126	123	130	125	141
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000176115.2_ASM17611v2_genomic.gbff	scheme_round_6	-	6,8,8,8,8	38	36	36	38	41
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177175.2_ASM17717v2_genomic.gbff	scheme_round_6	-	6,6,6	6	6	6	8	281
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000177195.2_ASM17719v2_genomic.gbff	scheme_round_6	-	31,31,31,31,31,31	206	188	208	39	215
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179195.1_ASM17919v1_genomic.gbff	scheme_round_6	-	808	851?	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000179215.1_ASM17921v1_genomic.gbff	scheme_round_6	-	804?	851?	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000204605.1_ASM20460v1_genomic.gbff	scheme_round_6	-	-	433	-	608	453	979
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000213055.1_ASM21305v1_genomic.gbff	scheme_round_6	-	820,820,820,820	851?	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000220705.2_ASM22070v2_genomic.gbff	scheme_round_6	-	150,150	180	176	181	180	195
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000225525.1_ASM22552v1_genomic.gbff	scheme_round_6	236	153	183	179	184	183	198
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000226455.1_ASM22645v1_genomic.gbff	scheme_round_6	242	237	292	719	304	298	279
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000237305.1_ASM23730v1_genomic.gbff	scheme_round_6	-	389	260?	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000239075.1_ASM23907v2_genomic.gbff	scheme_round_6	243	8	495	372	692	511	440
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000240165.1_ASM24016v1_genomic.gbff	scheme_round_6	-	567,567	260?	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000241835.1_ASM24183v2_genomic.gbff	scheme_round_6	-	183,183,183,183,183	229	202	229	228	230
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000245355.1_ASM24535v1_genomic.gbff	scheme_round_6	245	428	504	379	536	520	451
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000253235.1_ASM25323v1_genomic.gbff	scheme_round_6	246	635	15	16	16	16	16
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000261345.2_ASM26134v2_genomic.gbff	scheme_round_6	-	3,3,3,3,3,3	681	494	721	688	605
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000262345.1_Streptomyces_sulphureus_L180_version_1.0_genomic.gbff	scheme_round_6	-	-	194	186	196	195	186?
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000280865.2_ASM28086v2_genomic.gbff	scheme_round_6	-	162,162,162,162,162,162	198	750	200	199	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000280905.1_ASM28090v1_genomic.gbff	scheme_round_6	-	-	942?	-	1052?	999	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000297155.3_ASM29715v3_genomic.gbff	scheme_round_6	-	-	307	-	-	318	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000297635.1_ASM29763v1_genomic.gbff	scheme_round_6	248	38	337	276	47	351	323
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000299175.2_ASM29917v2_genomic.gbff	scheme_round_6	249	5	5	257	92	92	39
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000316095.1_ASM31609v1_genomic.gbff	scheme_round_6	-	752?	789	131	137	810	148
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000317595.1_Sipom9103v1.0_genomic.gbff	scheme_round_6	-	112,112,112,112,112,112,112	140	137	647	411	370
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000331005.1_Sturgcar8v1.0_genomic.gbff	scheme_round_6	-	359,359,359,375,375,375,375	261?	-	847?	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000331185.2_ASM33118v2_genomic.gbff	scheme_round_6	-	46,46,46,46,46	58	58	57	211	64
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000332625.1_STVIR_1.0_genomic.gbff	scheme_round_6	252	231	817	588	877	835	722
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000340335.1_ASM34033v2_genomic.gbff	scheme_round_6	162	95	121	119	125	120	137
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000340845.1_ASM34084v1_genomic.gbff	scheme_round_6	245	428	504	379	536	520	451
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000342125.1_S.mobaraensisn_1.0_genomic.gbff	scheme_round_6	190	120	148	145	151	146	162
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000349325.1_ASM34932v1_genomic.gbff	scheme_round_6	-	551,551,551,551,551,551	652	473	684	658	579
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000359525.1_ASM35952v1_genomic.gbff	scheme_round_6	-	5,5,5,5,5	36	5	5	36	39
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000364805.1_ASM36480v1_genomic.gbff	scheme_round_6	-	8,8,8,8,8	396	152	36	38	170
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000367365.1_ASM36736v1_genomic.gbff	scheme_round_6	202	126	157	153	159	157	172
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000373225.1_ASM37322v1_genomic.gbff	scheme_round_6	-	549?	5	111	5	36	129
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000373405.1_ASM37340v1_genomic.gbff	scheme_round_6	255	8	687	500	729	698	615
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000373565.1_ASM37356v1_genomic.gbff	scheme_round_6	-	414	484	-	515	505	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000373625.1_ASM37362v1_genomic.gbff	scheme_round_6	-	263?	900	-	707?	928	798
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000377525.1_ASM37752v1_genomic.gbff	scheme_round_6	-	108?	630?	-	197	1058	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000377965.1_ASM37796v1_genomic.gbff	scheme_round_6	256	8	468	360	498	490	423
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000380165.1_ASM38016v1_genomic.gbff	scheme_round_6	230	148	177	173	178	177	192
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000382745.1_ASM38274v1_genomic.gbff	scheme_round_6	241	31	206	188	208	39	215
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000383595.1_ASM38359v1_genomic.gbff	scheme_round_6	-	95,95,95,95,95,95	121	119	125	120	137
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000383635.1_ASM38363v1_genomic.gbff	scheme_round_6	-	173?	658	-	693	666	296?
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000384175.1_ASM38417v1_genomic.gbff	scheme_round_6	-	128,128	159	155	161	159	174
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000385945.1_ASM38594v1_genomic.gbff	scheme_round_6	-	11,11,11,11,11,11	133	130	13	13	147
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000403665.1_Streptomyces_lividans_1326_genomic.gbff	scheme_round_6	257	99	127	356	131	126	420
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000403765.2_SAlb2_genomic.gbff	scheme_round_6	258	610	805	582	867	827	716
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000404005.1_Streptomyces_sp._FXJ7.023_genomic.gbff	scheme_round_6	-	395?	195	149	156	196	212
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000411315.1_Stre_sp_HGB0020_V1_genomic.gbff	scheme_round_6	-	320,320,320	963?	693	410	399,399	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000411495.1_Stre_sp_HPH0547_V1_genomic.gbff	scheme_round_6	-	89,89	115	237	119	114	131
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000412265.2_ASM41226v2_genomic.gbff	scheme_round_6	-	316,316,316,316,316,316	782	-	837	396	758
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000414115.1_STRAU_genomic.gbff	scheme_round_6	-	475	560	415	587	571	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000424765.1_ASM42476v1_genomic.gbff	scheme_round_6	-	-	942?	-	1052?	1000	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000424825.1_ASM42482v1_genomic.gbff	scheme_round_6	-	573	684	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000424845.1_ASM42484v1_genomic.gbff	scheme_round_6	-	670?	488	-	-	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000424945.1_ASM42494v1_genomic.gbff	scheme_round_6	-	301?	366	-	785	753	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000424965.1_ASM42496v1_genomic.gbff	scheme_round_6	-	511?	964	-	-	523	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000429085.1_ASM42908v1_genomic.gbff	scheme_round_6	-	505?	130	127	134	129	144
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000444875.1_ASM44487v1_genomic.gbff	scheme_round_6	-	523,523,523,523,523,523	617	734	645	626	549
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000478605.2_ASM47860v2_genomic.gbff	scheme_round_6	-	800,800,800,800,800,800	946	-	1026	989	909
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000495635.1_GBA94-10.20_genomic.gbff	scheme_round_6	-	21,21,21,21,21	420	206	235	441	235
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000495755.1_PVA94-07.23_genomic.gbff	scheme_round_6	-	21,21,21,21,21,21	420	206	235	344	235
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000497425.1_S.niveus_v1_genomic.gbff	scheme_round_6	-	758?	876	618	950	903	780
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000497445.1_S.roseochromogenes_v1_genomic.gbff	scheme_round_6	-	187,187,187,187,187,187	232	208	237	-	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000498935.1_HCCB10043_genomic.gbff	scheme_round_6	263	3	597	440	626	607	531
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000504065.1_Velvet_for_version_02_of_Streptomyces_albulus_PD-1_genomic.gbff	scheme_round_6	-	610?	805	582	867	827	716
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000514055.1_ASM51405v1_genomic.gbff	scheme_round_6	264	29	37	35	529	350	444
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000515055.1_ASM51505v1_genomic.gbff	scheme_round_6	-	108?	604?	-	1001	1059	-
../../supplementary_file_5/output/all_genomes_for_mlst_extension/GCF_000518045.1_StrExf1.0_genomic.gbff	scheme_round_6	-	799	569	-	1025	988	843
