	GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507
GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	1.0	0.8987755808000001	0.7155099627	0.7982978756	0.6595550168000001	0.9159707604	0.8607122133	0.9287100909	0.9299539137	0.9196269530000001	0.9268031062000001	0.9204972874	0.6054200877	0.9146312994	0.9209672023000001	0.42206815880000004	0.638002779	0.8783717903	0.9245520602	0.9301918269	0.6369088508	0.9321172036	0.924076365	0.6468101687000001	0.7207544334
GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	0.8548096902000001	1.0	0.6738294228	0.7726098359	0.6202139556	0.9413312626	0.8554197960000001	0.9362395093	0.9143700342000001	0.9157078189000001	0.9135926273	0.9123470519	0.5764843763	0.9033958766	0.9460865393000001	0.3970662945	0.6017960825	0.8819550873	0.9299334169000001	0.9047589001	0.5994521168	0.9232128823	0.8909200065	0.6267709373	0.6785497149
GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	0.6818743377	0.6751813833	1.0	0.6194453236	0.6333636891000001	0.6853271059	0.6590599516	0.6884238180000001	0.6899003744000001	0.6868472304000001	0.6890238803000001	0.6845308622	0.5765582089	0.6932190582000001	0.6861786861	0.4004570139	0.6145683307	0.6601034566	0.69182776	0.6892594983	0.6129195053000001	0.6924821571	0.6888190604000001	0.6229268868	0.7879236117
GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	0.9118185527	0.9278665348	0.7424338572	1.0	0.6887129038	0.9488962651	0.9554105013	0.9442660902000001	0.9592215388	0.9500986371000001	0.9534133004	0.9542510444000001	0.6394515155	0.9434759129	0.9463254129	0.47364227480000004	0.6699492687	0.9071129013	0.9537965349	0.9584430656	0.6725579342	0.9429391745000001	0.9408151791	0.6822456341	0.7537092643000001
GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	0.6348908308	0.6277278379	0.6397532894	0.5804205709	1.0	0.6360390747	0.6194621262000001	0.6378594458	0.6360417303	0.6365352981	0.6369677864000001	0.6359895029	0.5880661297	0.636666815	0.636006069	0.408950839	0.6221311608	0.6140604482	0.6364869910000001	0.6375229396000001	0.6196213375	0.6388180018	0.6320800361000001	0.7556310738	0.6432668144
GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	0.7887374913	0.8522660414000001	0.6192415982	0.7153624842	0.5689664320000001	1.0	0.795705419	0.8977295185	0.8527841450000001	0.8371961274	0.8384134446	0.8377335751	0.5307068573	0.8390712552	0.8718165334	0.3645810131	0.5527420972	0.7991365543000001	0.8688951305	0.8410267003	0.5525486568	0.8510561904	0.8204146616	0.5881009705	0.626149005
GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	0.8420556124	0.879921508	0.6765798674	0.8183316884	0.6295779964	0.9040329308	1.0	0.9065081679	0.9189180262000001	0.9137089626	0.9058820006	0.9140958188	0.5870691839000001	0.9098883399000001	0.8947312885	0.40719390580000003	0.6106160023	0.8677229426	0.9071591402	0.9464774816	0.6094628881	0.8997105519	0.8903688102	0.6472190245	0.6813432110000001
GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	0.8308020555000001	0.8806152255	0.6462262937000001	0.7395513613	0.5927811190000001	0.932635686	0.82890796	1.0	0.894677036	0.8744089105	0.8811739231	0.8729568138	0.5491869563	0.8819431019	0.9031043915	0.37846569690000004	0.5744223667	0.832960692	0.9087570623000001	0.8780946225	0.5764274025	0.8899194096	0.8570615490000001	0.6115282801	0.6553115350000001
GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	0.8620583623	0.8912079564000001	0.6710779394	0.7784858330000001	0.6125094958	0.9180439767	0.8707013229	0.9270947781000001	1.0	0.9194410353	0.9210501127	0.9154231522	0.5688779617	0.9207065717	0.9179070961	0.3918320782	0.6005871251	0.8818354126	0.9207421314	0.9315088111000001	0.5966474246	0.9064803695	0.8999921817000001	0.6323482885	0.6746376866
GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	0.8569886739	0.8972266009000001	0.6716374149000001	0.7751551469	0.6162229316	0.9060240527000001	0.8703390436	0.9108787438	0.9242980378000001	1.0	0.9264853726000001	0.9383015351	0.5700452770000001	0.9101630579000001	0.9147460919	0.395295865	0.6021839315	0.8784807969	0.9372489407000001	0.9188140916	0.6017050121	0.9108013723	0.9033908526000001	0.6249012657	0.6774774901
GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	0.8731798647000001	0.905004306	0.6811799321	0.7864189808000001	0.6234270959	0.9173257642	0.8723786995	0.9280266978	0.9361043196000001	0.9366803466	1.0	0.9435426677000001	0.5774071902	0.9151000027	0.9226936826000001	0.3983839558	0.6075499642000001	0.8899287108	0.9319603658000001	0.9261149415000001	0.6067173613	0.9216151481	0.9179067420000001	0.6298685980000001	0.6864544039
GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	0.8811908457000001	0.9183101075000001	0.6876252820000001	0.7997728496000001	0.6324837683	0.9313276805	0.8944506354	0.9341633509	0.9453532320000001	0.9638878363000001	0.9587221827	1.0	0.5869905512	0.9272884726	0.9344592677	0.4058030633	0.6120702871	0.8967452798000001	0.9590365864	0.9403605004000001	0.6136098594	0.93637952	0.9251958012	0.6392620617	0.6958880642
GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	0.5970598566	0.5977649064	0.5966443669	0.5521094944	0.6024752148	0.6078058426	0.5917898615	0.6054298945000001	0.6052083518	0.6032634403	0.604403543	0.6047065771	1.0	0.6069271862	0.6045656189	0.395872025	0.7030596081	0.5780226033	0.6057835854	0.607007382	0.694015614	0.6041743564000001	0.6025407707	0.5944140410000001	0.6089664153000001
GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	0.8507026782	0.8834697268	0.6765713043	0.7682792556	0.6151711043	0.9063161310000001	0.8650416756	0.9169695426000001	0.9237995392	0.9084218134000001	0.9034082779	0.9009467812	0.5724100979	1.0	0.9030385341	0.3962524644	0.60177174	0.8710665692	0.9091217118	0.9202218463	0.5986553104	0.8978312069000001	0.8893019283	0.6351613414	0.6801281029
GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	0.8676631450000001	0.9371728047000001	0.6783526869000001	0.7805559495000001	0.6224725712	0.9538524793000001	0.8616220447	0.9511029804000001	0.9328900718	0.9247922003000001	0.9226740402	0.9196443313	0.5775497317	0.9147060010000001	1.0	0.40025934280000003	0.6044242736000001	0.8751851255	0.9373598176000001	0.9152118395000001	0.603777835	0.9328795515	0.8996507771000001	0.6307152509	0.6849285873000001
GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	0.44128481750000004	0.4364969832	0.43934292750000004	0.4335542053	0.4441804834	0.44266946830000004	0.43516589990000004	0.44232910870000003	0.4419377914	0.4435016872	0.4421015156	0.44320459370000004	0.41969148970000003	0.44542709490000004	0.44419215840000004	1.0	0.4356375684	0.42676074950000004	0.44349179790000004	0.4443433835	0.4369915896	0.4441626276	0.4446027051	0.44318550170000004	0.4448289247
GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	0.5612371123000001	0.5566151142	0.5672902599	0.5159674173000001	0.5685356974	0.5646709928	0.5490465706000001	0.5648560114	0.5699340266	0.5684464817	0.5672696894	0.5624418711	0.6271261538	0.5691462241	0.5643632448	0.3665327121	1.0	0.5451365648000001	0.5696557475	0.5679523283	0.8424895391	0.5685196339	0.5631166516	0.5534834345	0.5782748870000001
GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	0.8635813477000001	0.9117025537000001	0.6810017376	0.7808053253	0.6271738935	0.9124204202	0.8720133726	0.9154444230000001	0.9352703501	0.9268164973	0.9286752264	0.9209721756	0.5762469636	0.9207558341000001	0.9133091642000001	0.4013034998	0.6092652046	1.0	0.9249400734000001	0.9239700883	0.6073165808000001	0.9131027679	0.902670068	0.6328251223	0.6838042325
GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	0.8584458967	0.907852388	0.6740480891	0.7753429597	0.6139359474	0.9369103732	0.8609585233	0.9432177380000001	0.9222408008	0.9338414046	0.9184653352000001	0.9301848675000001	0.5703454932	0.9075526878	0.9238062676000001	0.3938499138	0.6012709628	0.8735148253	1.0	0.9113440106	0.603040011	0.9199628601000001	0.8971011176	0.6221312889	0.6772230567
GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	0.8460908914	0.8652850335000001	0.6578677533	0.7632509771	0.6024101626	0.8883894852	0.8799783286	0.8928292710000001	0.9140211076	0.8968271693000001	0.8941145444	0.8934935361	0.5598574059	0.8999228908	0.8836069917	0.3865688205	0.5872629112000001	0.8548256367	0.8927817125	1.0	0.5857361411	0.8855909444000001	0.8807012651	0.6155532669	0.6607292672
