	GCF_000403765.2 | Streptomyces albulus CCRC 11814 - ST 255:450	GCF_000695235.1 | Streptomyces albulus NK660 - ST 264:451	GCF_000935185.3 | Streptomyces albulus CK-15 - ST 339:453	GCF_003851665.1 | Streptomyces albulus NBRC 14147 - ST 255:454
GCF_000403765.2 | Streptomyces albulus CCRC 11814 - ST 255:450	1	45760	41517	1292
GCF_000695235.1 | Streptomyces albulus NK660 - ST 264:451	45760	1	43937	48166
GCF_000935185.3 | Streptomyces albulus CK-15 - ST 339:453	41517	43937	1	44336
GCF_003851665.1 | Streptomyces albulus NBRC 14147 - ST 255:454	1292	48166	44336	1
