	GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507
GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	1	75593	459111	64825	543676	81171	72564	82462	78683	78690	79682	79655	551647	81785	80616	470552	570855	75784	81108	79423	571433	84956	76512	536260	458209
GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	75593	1	450904	56617	535432	74801	65145	72923	71327	73550	75111	72295	549430	70948	69685	462495	564017	72556	73322	71058	561878	82730	81700	540806	448553
GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	459111	450904	1	409254	525582	461974	438231	464312	468491	465947	467337	462539	541931	467748	463958	471880	561379	428659	469975	467549	561924	468378	465960	517170	271089
GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	64825	56617	409254	1	491129	60975	56530	60287	60057	58219	59120	59226	502441	58764	60063	459322	518521	56502	59348	57989	519693	69833	67486	487880	411505
GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	543676	535432	525582	491129	1	545860	527517	547167	545170	546804	546858	546624	538557	545351	546284	471474	554148	510265	547317	546971	553120	548991	544947	247183	523192
GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	81171	74801	461974	60975	545860	1	77467	64608	82078	78614	80051	78392	562018	80568	70819	471413	576690	76282	72214	80401	574580	76326	86706	557893	462603
GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	72564	65145	438231	56530	527517	77467	1	76759	73674	70713	68542	69261	544271	72842	69602	462024	555400	66644	69672	66870	553448	82027	79855	537879	437348
GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	82462	72923	464312	60287	547167	64608	76759	1	82031	80607	81755	80177	560318	83010	69754	470852	576321	75558	72835	79078	576968	78081	86570	560487	466145
GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	78683	71327	468491	60057	545170	82078	73674	82031	1	74167	76527	74707	561080	79848	76848	470308	583291	72019	75838	75296	579623	84154	84779	560845	465255
GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	78690	73550	465947	58219	546804	78614	70713	80607	74167	1	76134	74214	559555	75715	77380	473086	581003	72136	78027	73670	580257	88666	84751	556102	463235
GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	79682	75111	467337	59120	546858	80051	68542	81755	76527	76134	1	74499	559810	77890	77431	469836	579052	74319	77836	75806	578263	88458	87135	553379	464911
GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	79655	72295	462539	59226	546624	78392	69261	80177	74707	74214	74499	1	561160	74549	76798	472682	574024	71055	79437	73173	575990	87400	85439	552498	464249
GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	551647	549430	541931	502441	538557	562018	544271	560318	561080	559555	559810	561160	1	563362	559381	454353	496100	520863	560824	563053	485933	560211	559137	530124	548403
GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	81785	70948	467748	58764	545351	80568	72842	83010	79848	75715	77890	74549	563362	1	77676	473873	582716	66781	75162	78800	579690	89125	87377	560965	464799
GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	80616	69685	463958	60063	546284	70819	69602	69754	76848	77380	77431	76798	559381	77676	1	471999	576272	72137	75525	72895	576595	79139	85124	555072	463807
GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	470552	462495	471880	459322	471474	471413	462024	470852	470308	473086	469836	472682	454353	473873	471999	1	471477	444825	472283	473558	472724	473787	475105	471631	476978
GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	570855	564017	561379	518521	554148	576690	555400	576321	583291	581003	579052	574024	496100	582716	576272	471477	1	539924	581844	580260	156857	579258	574523	538762	571584
GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	75784	72556	428659	56502	510265	76282	66644	75558	72019	72136	74319	71055	520863	66781	72137	444825	539924	1	70753	71785	538661	82846	79666	516448	424838
GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	81108	73322	469975	59348	547317	72214	69672	72835	75838	78027	77836	79437	560824	75162	75525	472283	581844	70753	1	74258	582505	85573	86224	556021	464638
GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	79423	71058	467549	57989	546971	80401	66870	79078	75296	73670	75806	73173	563053	78800	72895	473558	580260	71785	74258	1	580209	87810	85653	556188	463753
GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	571433	561878	561924	519693	553120	574580	553448	576968	579623	580257	578263	575990	485933	579690	576595	472724	156857	538661	582505	580209	1	576659	574264	541599	570146
GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	84956	82730	468378	69833	548991	76326	82027	78081	84154	88666	88458	87400	560211	89125	79139	473787	579258	82846	85573	87810	576659	1	90254	556543	465464
GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	76512	81700	465960	67486	544947	86706	79855	86570	84779	84751	87135	85439	559137	87377	85124	475105	574523	79666	86224	85653	574264	90254	1	551731	460132
GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	536260	540806	517170	487880	247183	557893	537879	560487	560845	556102	553379	552498	530124	560965	555072	471631	538762	516448	556021	556188	541599	556543	551731	1	520391
GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507	458209	448553	271089	411505	523192	462603	437348	466145	465255	463235	464911	464249	548403	464799	463807	476978	571584	424838	464638	463753	570146	465464	460132	520391	1
