	GCF_002846455.1 | Streptomyces sp. 5112.2 - ST 474:708	GCF_900105245.1 | Streptomyces sp. 1222.5 - ST 474:709	GCF_900105605.1 | Streptomyces sp. 2231.1 - ST 799:710
GCF_002846455.1 | Streptomyces sp. 5112.2 - ST 474:708	1	54	57239
GCF_900105245.1 | Streptomyces sp. 1222.5 - ST 474:709	54	1	56603
GCF_900105605.1 | Streptomyces sp. 2231.1 - ST 799:710	57239	56603	1
