	GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	GCF_003984975.1 | Streptomyces sp. WAC08452 - ST 545:494	GCF_004364245.1 | Streptomyces sp. BK208 - ST 564:495	GCF_004795715.1 | Streptomyces sp. SS52 - ST 572:496	GCF_005490965.1 | Streptomyces sp. SGAir0924 - ST 575:497	GCF_008704515.1 | Streptomyces viridosporus ATCC 39115 - ST 602:498	GCF_009829585.1 | Streptomyces tendae UTMC 3329 - ST 615:499	GCF_010550405.1 | Streptomyces rochei SID8161 - ST 659:500	GCF_013363575.1 | Streptomyces sp. KAI 90 - ST 675:501	GCF_014650135.1 | Streptomyces plicatus JCM 4504 - ST 712:502	GCF_014650435.1 | Streptomyces tendae JCM 4610 - ST 714:503	GCF_018070055.1 | Streptomyces sp. RT42 - ST 760:504	GCF_018070125.1 | Streptomyces sp. RM99 - ST 761:505	GCF_018070535.1 | Streptomyces sp. B94 - ST 767:506	GCF_019049125.1 | Streptomyces sp. AC602_WCS936 - ST 781:507
GCF_000720675.1 | Streptomyces sp. NRRL WC-3795 - ST 312:483	1.0	0.9087063258	0.7758239373	0.8068140153000001	0.7309783990000001	0.9266342942	0.8702450349	0.9395432249000001	0.9402905958000001	0.9299645547000001	0.9372710282000001	0.9309616623	0.67789063	0.9253754951000001	0.9315578249	0.4838851516	0.7129966998	0.8883276272	0.9352073176000001	0.9406257238	0.7119787042	0.9432779774000001	0.9341278402000001	0.7172593020000001	0.7809499112
GCF_000972435.1 | Streptomyces sp. MBT28 - ST 342:484	0.8642546476	1.0	0.7301675636	0.7796838395	0.6871134362	0.9506772637	0.8635593294	0.9453508639	0.9232819768	0.9248975140000001	0.9229773612000001	0.9213799411	0.6451328351	0.9122604651	0.9547933224	0.4548526713	0.6722671121	0.8910205872	0.9390946245	0.9136372326000001	0.6696558893	0.9335495713	0.9011280023	0.6943418716	0.7345941103
GCF_001905385.1 | Streptomyces sp. CB02414 - ST 415:485	0.7393529944	0.7316325601	1.0	0.6706821054000001	0.6991642195000001	0.7431641975000001	0.7139245251	0.7465536167	0.7485533654000001	0.7451817239	0.7475323956000001	0.7424386892	0.6444055615000001	0.7517790288	0.7442641656	0.4595342926	0.6848504865	0.7137696582	0.7506665411	0.7477945551	0.6832698926	0.751121001	0.7471551814	0.6876742722	0.8218627496
GCF_003116795.1 | Streptomyces sp. CS207 - ST 496:486	0.9215457165000001	0.9363620663000001	0.8038435089	1.0	0.7624081171	0.9580457261	0.9638929782000001	0.953312315	0.9682332515000001	0.9588345530000001	0.9622844137000001	0.9631380633000001	0.7148441245	0.9522936074	0.9553380259	0.5425647631	0.7477547245	0.9155911767	0.9627018602	0.9671444694	0.7505392518	0.953417802	0.950941633	0.7554533263000001	0.8154566845000001
GCF_003671715.1 | Streptomyces sp. E2N166 - ST 513:487	0.7036433221	0.6954378046	0.7062176393	0.6425280435	1.0	0.7050677514	0.6861711733	0.707053404	0.7049831507000001	0.7056833518000001	0.7061226689	0.705114794	0.6561712795	0.7056311244	0.7050883642	0.4685727683	0.6922079262	0.6785878321000001	0.7056999179	0.7066921118	0.6895681035	0.7082426204000001	0.7009932562	0.7868894833000001	0.7094289283
GCF_003949835.1 | Streptomyces sp. WAC02707 - ST 533:488	0.7979198028000001	0.8607277591	0.6715015083	0.7222601624	0.6307157827000001	1.0	0.8044687227	0.9050381728	0.8620690591	0.8460891833	0.8474690583000001	0.8466015176	0.5942840504	0.8481853535	0.8798277950000001	0.4179086918	0.6179790317	0.8077658072	0.8770641988000001	0.8501219071	0.6175469017	0.8596904207	0.8302231092	0.6512115309000001	0.6784800696000001
GCF_003949905.1 | Streptomyces sp. WAC06273 - ST 536:489	0.8513818028	0.8882941814	0.7329029162	0.8255971305	0.6973764081	0.9139892726000001	1.0	0.9163735149000001	0.9283868778000001	0.9227972556	0.9146912688000001	0.9229974955	0.6570208809	0.9192502598000001	0.9036767918	0.4665749179	0.681998039	0.8762882729	0.9161136401000001	0.9550718582000001	0.6805940466	0.9102529615	0.9006320665	0.7163491983	0.7375527734
GCF_003984905.1 | Streptomyces sp. WAC05458 - ST 541:490	0.8404931206	0.8891852522	0.7007929769	0.7466363853	0.6570850533	0.9402285207000001	0.8379287995	1.0	0.9043174493	0.8838819731	0.8907819005000001	0.8823793421	0.615036417	0.8916985689	0.9113019923000001	0.4338009713	0.6421525254	0.8418403881000001	0.9173167471	0.8873879946000001	0.6442335977	0.8990956126	0.8672353928000001	0.677397602	0.7100936353
GCF_003984925.1 | Streptomyces sp. WAC08401 - ST 542:491	0.8716403675000001	0.8998941489000001	0.7281307107	0.7857995664	0.6789002255000001	0.9280394245	0.8796733328	0.9370845023000001	1.0	0.9284730826	0.9303695605000001	0.9245209606	0.6372062091	0.9304304504	0.9272656353000001	0.4491061236	0.6716202251000001	0.8906058768	0.9299776729	0.940678348	0.6672338361	0.9167286323	0.910316557	0.7006479176	0.7312963783
GCF_003984935.1 | Streptomyces sp. WAC04189 - ST 543:492	0.8666221536000001	0.9062308255	0.7286801264	0.7822825018	0.6831644138	0.9156482283	0.8789959537	0.9207469087000001	0.9333777974	1.0	0.9358059387000001	0.9473870487	0.6385477771	0.9194323286	0.9242191972	0.4532125555	0.6733121639	0.8873119152000001	0.9468012538	0.927833007	0.6727419168000001	0.9216561456000001	0.9137663392	0.6929810386	0.7341881899
GCF_003984965.1 | Streptomyces sp. WAC06128 - ST 544:493	0.8830421307	0.9143008178	0.7390223779	0.7937362816	0.6911118807000001	0.9272337014	0.8808621642000001	0.9381455395	0.9455760902	0.9461034754000001	1.0	0.9527634321	0.646695048	0.9247404722	0.9322773415000001	0.4565357037	0.6792194104	0.8991271965000001	0.9415941517	0.9354974737	0.6782891527	0.9325636223	0.9286914681	0.698360489	0.7439965829
