FILE	SCHEME	ST	16S	atpD	gyrB	recA	rpoB	trpB
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000009765.2_ASM976v2_genomic.gbff	revised_scheme	-	93,93,93,93,93,93	119	117	123	118	135
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000010605.1_ASM1060v1_genomic.gbff	revised_scheme	-	6,6,6,6,6,6	6	8	8	8	8
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000091305.1_ASM9130v1_genomic.gbff	revised_scheme	-	136,248,248,248,248,248	165	161	166	165	180
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000092385.1_ASM9238v1_genomic.gbff	revised_scheme	-	503,503,503,503,503,503	50	439	619	600	526
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000147815.2_ASM14781v3_genomic.gbff	revised_scheme	-	266,266,266,266	321	266	337	333	306
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000148465.1_Scla_1.0_genomic.gbff	revised_scheme	-	98,98,98	126	123	130	125	141
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000156695.2_ASM15669v2_genomic.gbff	revised_scheme	-	455?	578	426	606	585	510
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000163875.1_Strep_clav_ATCC27064_genomic.gbff	revised_scheme	-	98,98,98,98	126	123	130	125	141
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000177175.2_ASM17717v2_genomic.gbff	revised_scheme	-	6,6,6	6	6	6	8	278
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000177195.2_ASM17719v2_genomic.gbff	revised_scheme	-	31,31,31,31,31,31	205	188	208	39	215
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000179195.1_ASM17919v1_genomic.gbff	revised_scheme	-	771	809?	-	-	-	-
../../supplementary_file_8/output/database_for_revised_scheme/GCF_000179215.1_ASM17921v1_genomic.gbff	revised_scheme	-	767?	809?	-	-	-	-
